Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Samsung Experience Consultant,"Tirupati, Andhra Pradesh",Full Time,Other Department,4 Sep 2023,5.0,3.0,4.0,5.0,5.0,5.0,4.0,Earning more money,Working timeings hours high
Executive,Gurgaon/Gurugram,Full Time,Other Department,2 Sep 2023,4.0,4.0,2.0,3.0,4.0,4.0,2.0,Safe environment and job security,appraisal
Senior Executive - Stores,"Varanasi, Uttar Pradesh",Full Time,Sales Support & Operations Department,2 Sep 2023,5.0,3.0,3.0,3.0,3.0,4.0,3.0,Lots of facilities available,Salary not increase last 2 yrs
Region MIS Associate,"Jaipur, Rajasthan",Contractual,Operations Support Department,3 Aug 2023,3.0,2.0,2.0,3.0,2.0,3.0,3.0,Salary,"Work Culture, Work Life Balance"
Area Sales Manager,"Mumbai, Maharashtra",Full Time,Enterprise & B2B Sales Department,3 Aug 2023,5.0,5.0,5.0,4.0,5.0,3.0,5.0,Pressure is high but learning is great,High pressure
Senior Automation Test Engineer,Noida,Full Time,Quality Assurance and Testing Department,2 Aug 2023,2.0,2.0,1.0,3.0,4.0,2.0,2.0,"business trips,",Work on old or inbuild tools
Senior Design Engineer,Chennai,Full Time,Engineering Department,6 Aug 2023,3.0,3.0,1.0,4.0,4.0,3.0,3.0,Hikes and insensitives,"Done 
Fed-up with people mind set and way of working"
Fos Executive,"Puranpur, Uttar Pradesh",Full Time,Marketing Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Samsung India electronics private limited company is the best company.,No
Area Service Executive,"Ludhiana, (Punjab)",Full Time,After Sales Service & Repair Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,"Make good relationships,  Learn new things and new technologies from samsung",Nothing
Sr. Design Engineer,"Noida, Uttar Pradesh",Full Time,Engineering & Manufacturing Department,0 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best company to work with.. I am working as Sr. Design engineer in Refrigeration section in R&D.,Salary
Quality Engineer,"Jaipur, Rajasthan",Contractual,Quality Assurance and Testing Department,7 Aug 2023,4.0,3.0,4.0,3.0,5.0,4.0,2.0,Overall good company if you are on good salary.,Company does not give opportunity to talented people and do not increase compensation.
Purchase Manager,Noida,Full Time,Procurement & Purchase Department,1 Aug 2023,4.0,4.0,3.0,4.0,4.0,3.0,4.0,Brand name and job security,"Pressure ,and"
Senior Engineer,Chennai,Full Time,Software Development Department,1 Jul 2023,5.0,4.0,5.0,4.0,5.0,4.0,4.0,skill development,nothing much in company
Team Lead,Noida,Full Time,Quality Assurance and Testing Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's good company but need to change,Nothing
Rf Planning And Optimization Engineer SR Performance,Gurgaon/Gurugram,Full Time,Telecom Department,8 Jul 2023,5.0,5.0,4.0,5.0,5.0,3.0,4.0,Firefly enviornment. Time to time training and incrrmental,Job security
Sr.Associate Engineer - Industrial Engineering And Process Control Engineering,Chennai,Full Time,Engineering Department,7 Jul 2023,4.0,3.0,3.0,3.0,5.0,2.0,4.0,There is no special thing to say,Six Days working pattern is a drawback.
Finance Executive,"Gurgaon/Gurugram, Haryana",Full Time,Accounting & Taxation Department,8 Jul 2023,4.0,4.0,4.0,4.0,5.0,4.0,3.0,Supporting Senior Staf,Timmimg not good (For Delhi/Noida/Ghaziabad) peoples.
Electronics Sales Associate,"Faridkot, Punjab",Full Time,After Sales Service & Repair Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work smart earn money,Timing
Procurement Manager,Gurgaon/Gurugram,Full Time,Procurement & Purchase Department,1 Jul 2023,1.0,1.0,1.0,4.0,1.0,1.0,1.0,Only salary was good otherwise nothing to talk about,"Nothing left to dislike, Very unprofessional and rude people."
Software Engineer,Noida,Full Time,Engineering & Manufacturing Department,1 Jul 2023,4.0,4.0,3.0,5.0,3.0,4.0,3.0,"food,transportation facilities,good work space",much more policies
Senior Executive,"Gurgaon/Gurugram, Haryana",Full Time,Customer Success Department,4 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,3.0,"Good place to work, learn new things,  trainings , etc.",Salary appraisal
Promoter,"Mysuru/Mysore, Karnataka",Full Time,Marketing Department,3 Jul 2023,5.0,3.0,4.0,4.0,4.0,4.0,3.0,Good supporting,Salary and travel
Customer Experience Manager,Hyderabad/Secunderabad,Full Time,Service Delivery Department,7 Jun 2023,4.0,3.0,1.0,3.0,4.0,1.0,2.0,Customer centric policies,No work life balance
Regional Sales Officer,Noida,Full Time,Retail & B2C Sales Department,6 Jun 2023,1.0,1.0,2.0,3.0,1.0,1.0,1.0,Nothing likes are there,Culture worst management
Samsung Experience Consultant,"Nizamabad, Telangana",Full Time,Sales Support & Operations Department,8 Jun 2023,5.0,5.0,5.0,2.0,1.0,1.0,1.0,Good incentives and good knowledge gain environment,No increments for the experienced executives
System Engineer,"Noida, Uttar Pradesh",Intern,General Insurance Department,8 Jun 2023,4.0,4.0,4.0,3.0,5.0,3.0,3.0,"All good to learn
Great place",Nothing as such
Warehouse Contract Manpower Supervisor,"Sriperumbudur, Tamil Nadu",Contractual,Warehouse Manpower supervisor  Department,2 Sep 2023,3.0,3.0,3.0,2.0,2.0,4.0,2.0,very good management with organization workplace & good in Time management,gave lots of mental pressure and over work pressure.
