Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Trainee,"Mumbai, Maharashtra",,,1 Oct 2022,5.0,2.0,3.0,5.0,3.0,3.0,3.0,Yes its good with all teams work,Nothing
Intern,Gurgoan,,,6 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good working place and culture,Limited work
Assistant Manager,Mumbai,,Technology / IT Department,6 May 2022,4.0,2.0,5.0,4.0,3.0,4.0,3.0,"work culture & management is good, policies should more favorable & clear for employees in terms of insurance & other perks during wfh.","promotion is very difficult even serving so many years, job security is also a concern in network division."
Deputy General Manager,Mumbai,,BD / Pre Sales Department,4 May 2022,5.0,3.0,4.0,5.0,4.0,4.0,4.0,Good compensation.,"People are biased and unnecessary favors like promotion has been given to whom who have not performed.
Should trust employees."
Area Sales Manager,"Madurai, Tamil Nadu",,Retail & B2C Sales Department,0 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Brand,Good brand
Senior Staff Engineer,"Noida, Uttar Pradesh",Full Time,Software Development Department,5 Aug 2022,3.0,2.0,3.0,3.0,5.0,3.0,3.0,Overall experience is just OK,Internal Politics
Sales Promoter,Kolkata,Full Time,Retail & B2C Sales Department,2 Apr 2022,5.0,3.0,4.0,5.0,5.0,5.0,3.0,its a pleasure work this band best option available seniors are super cooperative,AT LEAST AS A FRONT LINE WORKER COMPANY NEED TO RESTRUCTURE ITS INCENTIVE STRUCTURE
Area Sales Manager,Gurgaon,Full Time,BD / Pre Sales Department,6 Jun 2022,3.0,2.0,3.0,4.0,2.0,2.0,3.0,Company's policies are good. Policy driven company. Compensation and benifits are good.,"Company culture, high pressure for numbers."
Center Manager,Muzaffarpur,Full Time,Operations Department,5 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Center manager,Hare working condition good ... but in late night calling by boss
Mis Executive And Business Analyst,Pune,Full Time,Finance Department,9 Apr 2022,3.0,1.0,4.0,2.0,3.0,3.0,3.0,Job security,"No personal life, pressure, senior can call any time for work,no leaves, no leaves in fesive seasons,Soo -Abhik sengupta to much pressurise his reporties"
Supervisor,"Kolkata, West Bengal",Full Time,Customer Success Department,2 Sep 2022,3.0,3.0,2.0,2.0,2.0,2.0,2.0,I like company,Salaries not applicable
Engineer,Noida,Full Time,SMD Maintenance Department,8 Jan 2022,3.0,1.0,2.0,2.0,5.0,1.0,2.0,"Free food, transport and cleanliness.","Too much politics in office very hard to work in a Positive way. Hike only 5-6% and Incriminate/promotion based on Manager favourite.
Management only concer to maintain 5s and cleanliness apart from that nothing."
Senior Engineer,Noida,,"Operations, Maintenance & Support Department",5 May 2022,5.0,5.0,3.0,4.0,5.0,3.0,4.0,Good company for stability and also job security.,Well curve in salary as per experienced staff is not fair.
Senior Engineer,Noida,,Research & Development Department,1 May 2022,4.0,5.0,2.0,3.0,5.0,5.0,2.0,Job security,"Salary and benefits, Career opportunities"
Team Manager,Trichy,,Sales Support & Operations Department,6 May 2022,5.0,5.0,5.0,3.0,5.0,3.0,3.0,"Job security 100% no issue, Sellout pressure only, that's also no issue",So much of excel working
Sales Executive,"Maudaha, Uttar Pradesh",Full Time,Store Sales Department,2 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good scheme by company for customers,I am working in samsung a frunt counter face to face  customer dealing in all mobile deal
Sales Promoter,Delhi NCR,Full Time,Retail & B2C Sales Department,1 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Am working in samsung last 9 year here is only thik is no growth in last 6 year,Employee benefits and activities game
Finance Officer,"Gurgaon/Gurugram, Haryana",,Accounting & Taxation Department,9 Nov 2022,4.0,4.0,3.0,2.0,3.0,2.0,2.0,Company provides WFH. But WFH policy depend upon your HOD. Food allowance not provide after covid 19.,Company culture and senior support but after lockdown totally change Company culture and senior management totally poor and chep
Sales Executive,Allahabad/Prayagraj,,BD / Pre Sales Department,9 Apr 2022,3.0,1.0,3.0,2.0,4.0,3.0,1.0,No life balance and no salary growth and any promotion,"Job security, 
Collaboration with several e-learning portals,"
Assistant Manager,Noida,,Production & Manufacturing Department,4 May 2022,3.0,4.0,3.0,4.0,5.0,3.0,3.0,"Slow career growth,
Working environment,
No hierarchy.",Job security
SEC,Noida,,Retail sale from stores Department,8 Sep 2022,3.0,4.0,3.0,3.0,4.0,3.0,3.0,Appraisal and management not good,All over good
Senior Assistant Engineer,Noida,,"Operations, Maintenance & Support Department",0 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I am working working in Samsung in R&D department and I have 5 year experience,There is lots of opportunities to learn & Samsung has wonderful employee welfare policies
Senior Executive - MRO Development,"Noida, Uttar Pradesh",,Purchase Department,4 Nov 2022,3.0,3.0,4.0,3.0,4.0,3.0,3.0,There is work pressure & work culture is not upto expectation.,"I am very very proud to be working on Samsung developed my working skills and product knowledge and everything .. Hartley proud I am a Samsung SEC ,,🤝🤝"
Sales Executive,Chennai,,Retail Sales Department,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing like all things,"Less Work Pressure.
Good Pay"
R&d Engineer,"Noida, Uttar Pradesh",,,4 Sep 2022,3.0,4.0,1.0,4.0,2.0,2.0,3.0,"Pressure for clearing stupid tests.
Not really a research institute. looks like a support center",
Quality Inspector,"Noida, Uttar Pradesh",Full Time,Quality control production Department,7 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Facility bahut acchi Deti Hai,Nothing
Denand Analyst,Chandigarh,Full Time,Sales Support & Operations Department,3 Jun 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Everything Allright,NOT ANY ACCOUNTABLE EVEN IF YOU ARE DOING MORE THAN YOUR JOB
Ase,"Gurgaon/Gurugram, Haryana",Intern,Sales Support & Operations Department,1 Nov 2022,5.0,4.0,5.0,4.0,5.0,4.0,4.0,Skill Development/ learning & company culture. Also overall good experience,Nothing about dislike everything is smooth
Assistant Engineer,Noida,Full Time,Engineering Department,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Culture,company policies,job security, work lifestyle,positive atmosphere,great team leaders and mentors,equality,,",Work-life balance and company policy
Assistant Manager,Guwahati,,Network  Department,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I do not dislike anything in Samsung India Electronics Ltd. Or else I would have left the organization.,Salary structure and increments are not good
Assistant Manager,Delhi NCR,,Accounting & Taxation Department,7 May 2022,3.0,4.0,3.0,3.0,1.0,1.0,3.0,Its policy of increment and motivation needs to be improve,"- Good amenities
- Nice office"
Summer Intern,"Gurgaon/Gurugram, Haryana",,eCommerce Operations Department,6 Jan 2023,4.0,4.0,4.0,4.0,4.0,3.0,3.0,"- No free food at the cafe
- Hectic",Worst experience ever…worst work place I have ever worked..
Customer Care Representative,Abohar,,,6 Jul 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Frustrating environment and so much pressure,The pay is decent compared to competition.
Zonal Sales Manager,Bangalore,,Enterprise & B2B Sales Department,0 Apr 2022,3.0,2.0,3.0,3.0,2.0,2.0,2.0,No value for people or their time. The company feels they own the employees.,Lots of learning and growth opportunities
Rso,Indore,,Retail & B2C Sales Department,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing to dislike about,
Manager,Gurgaon,Full Time,Administration Department,6 Jun 2022,2.0,1.0,2.0,4.0,1.0,2.0,4.0,Brand Value only encourages to work with Samsung.,People and Culture
Asst. Manager,"Noida, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",7 Nov 2022,3.0,3.0,1.0,2.0,4.0,2.0,2.0,Nothing,Politics inside department biased culture
Back Office Assistant,"Ballia, Uttar Pradesh",Full Time,Accounting & Taxation Department,1 Jul 2022,5.0,4.0,3.0,4.0,1.0,5.0,3.0,do any work in a systematic way,No promotion
Assistant Manager,"Tirupati, Andhra Pradesh",Full Time,Service Delivery Department,5 Dec 2022,4.0,2.0,4.0,4.0,3.0,3.0,4.0,"Only work life balance is poor, rest all are good",Poor work life balance
Deputy General Manager,Gurgaon/Gurugram,Full Time,Retail & B2C Sales Department,8 Apr 2022,2.0,1.0,2.0,4.0,1.0,2.0,2.0,"Innovation,
Technolohy","Work life balance 
Organization Culture"
Associate,Noida,Full Time,Manufacturing Department,1 May 2022,4.0,3.0,3.0,4.0,5.0,4.0,4.0,Job security,Some miner company policies
Assistant Manager,Noida Sector 81,,,0 Oct 2022,5.0,5.0,3.0,4.0,5.0,4.0,3.0,Work Life balance,appraisal system
Senior Associate,Sungavachatram,,Production & Manufacturing Department,0 Apr 2022,5.0,3.0,5.0,5.0,5.0,5.0,5.0,Job security and good working atmosphere.,Work-Life balance. I start at 6AM in the morning and end up 7.30PM at home with 6 working days.
Teaml Lease Employees,"Shamli, Uttar Pradesh",,Sales Promotion Department,5 May 2022,1.0,5.0,5.0,5.0,1.0,3.0,1.0,Not like this company,"Employees are not supported, they are told that if the dealer is important, then the employees will get more Very Poor Company Employee With Behavior"
Chief Manager E-commerce Operations,Gurgaon,,SCM & Logistics Department,7 May 2022,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Infrastructure in office. Nothing much as such,"Autocracy,  toxic work culture"
Remote Sales Officer,Surat,Full Time,Enterprise & B2B Sales Department,0 May 2022,3.0,3.0,2.0,3.0,4.0,3.0,2.0,Company is quite secure in terms of job security,"Dislikes
- Work culture
- Career opportunities 
- Seniors behavior"
Senior Associate,Chennai,Full Time,Engineering & Manufacturing Department,0 Jun 2022,4.0,4.0,3.0,4.0,5.0,4.0,3.0,All Good,No Cons
Area Sales Manager - Manager,Indore,Full Time,Sales Department,8 Apr 2022,3.0,1.0,2.0,5.0,1.0,2.0,2.0,Company is ethical in.lolicies towards partners,"Less Job Security, Immense Pressue, No Work Life balance"
Associate,"Sriperumbudur, Tamil Nadu",Full Time,Stores & Material Management Department,9 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good working place,Not bad working here
Senior Sales Executive,"Patna, Bihar",Full Time,Rso Department,3 Jun 2022,5.0,5.0,4.0,4.0,4.0,5.0,4.0,Nice experience this company,My Working hour this company good
Chief Manager,Chennai,Full Time,Management Department,6 Jun 2022,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Great place to work with scope of continuous improvement,Good
Regional Sales Officer,Nagpur,Contractual,It Infrastructure Department,8 Jun 2022,3.0,2.0,2.0,4.0,1.0,2.0,1.0,Working Time,It' a good payer with average hike annually.
Chief Manager Scm,Mumbai,,SCM & Logistics Department,9 Apr 2022,4.0,5.0,4.0,5.0,3.0,4.0,3.0,"Isolation, Low communication in teams.",All employees good
Electrical Technician,Noida Sec 81,,,3 Dec 2022,3.0,3.0,3.0,3.0,4.0,4.0,3.0,All Good,work culture is not good as
Sales Executive,Jaipur,,Retail Sales Department,6 Jun 2022,4.0,2.0,3.0,4.0,1.0,3.0,4.0,sale uploading in mcs,
Senior Engineer - SMD Maintenance And Production Support,Noida,Full Time,"Operations, Maintenance & Support Department",3 Jun 2022,1.0,5.0,1.0,3.0,5.0,3.0,1.0,Work life balance,No satisfactory work given.
Area Business Manager,Bangalore,Full Time,BD / Pre Sales Department,9 Apr 2022,5.0,3.0,5.0,4.0,3.0,4.0,3.0,As a Organization Samsung India electronics is best working place.,"Superior Management is not up to the mark.
Less of liberty in decision making"
Branch Manager,Kochi/Cochin,Full Time,Retail & B2C Sales Department,0 May 2022,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Work life balance.,I am a satisfied employee. No dislike as of now.
Senior Associate-Indirect Purchase,Noida,Full Time,Outsourcing  Department,2 Jun 2022,5.0,5.0,4.0,3.0,5.0,3.0,4.0,Job Security,Culture
Assistant Manager Production,"Noida, Uttar Pradesh",Full Time,,1 Oct 2022,5.0,4.0,5.0,2.0,5.0,5.0,4.0,Work life balance,Nothing is wrong
Senior Technician,Chennai,Full Time,Administration & Staff Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent company  good work place  learn more my career grow well,Nothing
Samsung Experience Consultant,"Agra, Uttar Pradesh",,Sales & Marketing Department,1 Dec 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Very good company for starting freshers,Management
Technician,Noida,,"Operations, Maintenance & Support Department",9 Mar 2022,4.0,4.0,4.0,5.0,1.0,5.0,1.0,Good work environment and culture. Company policies are good. Give salary & bonus every year,No permanent
"Chief Manager (NFV,vEPC,EPC Core DP Manager)",Mumbai,,Telecom Department,5 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Its Technology and Company Policy.,Should be open to more clients
Assistant Manager Operations,"Gurgaon/Gurugram, Haryana",,,3 Sep 2022,5.0,4.0,4.0,5.0,4.0,4.0,4.0,Very systematic company,Nothing to dislike
Hr Associate,Gurgaon,Full Time,Human Resources Department,8 Mar 2022,3.0,4.0,2.0,3.0,3.0,3.0,3.0,The work environment feels good,There is not a lot of professional growth opportunities for young people here
Assistant Manager Process Excellence,Noida Sector 81,Full Time,Production & Manufacturing Department,8 Apr 2022,2.0,5.0,2.0,4.0,5.0,3.0,3.0,Job security & Work life balance,Limited Career Growth opportunities. very limited learning scope.
Utility Engineer,Noida,Full Time,,2 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good platform for carrier,Nothing
Chief Engineer,Noida,Full Time,Software Development Department,8 Jun 2022,3.0,2.0,1.0,1.0,4.0,1.0,1.0,Business trips to Korea,"The upper management is unskilled. Virtually no skill development. Mostly Bug fixes, not much implementation work. Career growth is zero."
Professional,Chennai,Full Time,Engineering & Manufacturing Department,1 Apr 2022,3.0,2.0,3.0,3.0,3.0,3.0,3.0,People who work here,Compensation is poor. Benefits aren't useful.
Qa Engineer,"Noida, Uttar Pradesh",,,1 Aug 2022,2.0,1.0,1.0,1.0,1.0,1.0,1.0,No-thing,Most of the things
Retail Manager,Gurgaon,,Digital Marketing Department,1 Jun 2022,3.0,2.0,4.0,3.0,4.0,2.0,3.0,Job security and scale of organaisation. Possible to go into different kinds of roles and learn.,Culture not that good.
Trainee,Noida,,Production Department,4 Apr 2022,4.0,3.0,3.0,4.0,3.0,5.0,4.0,Iam happy for part samsung  india electronics company,No
Team Lead,Goregoan Mumbai,,,9 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Well set n always helping n giving us new knowledge,No dislike i always want to part this kind of organisation
Chief Engineer,Noida,,RnD Department,9 Apr 2022,4.0,4.0,4.0,3.0,3.0,3.0,4.0,It is OEM and wide range of domain,compensation is not up to market
Sales Manger,New Delhi,Full Time,BD / Pre Sales Department,0 Jun 2022,1.0,1.0,1.0,3.0,1.0,1.0,1.0,No job security. Company runs on politics.,Politics and usage of foul language
Sales Executive,Venkatagiri,Full Time,Retail & B2C Sales Department,7 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company for employ benefits and job security,Pressure from team leader change frequently
Seles Executive,Surat,Full Time,Sales & Marketing Department,1 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Samsung is a very good company and the rule regulation in it is very good.,He is a senior officer in Samsung company.  Their working style is not good.  That's why no one stays on long time job.
Platinum Team Member,Chennai,Full Time,Banking Operations Department,1 Apr 2022,5.0,4.0,5.0,4.0,4.0,4.0,3.0,Overall I love to work here,Career growth and oppertunity
Manager,Ahmedabad,,,0 May 2022,2.0,4.0,2.0,3.0,4.0,1.0,1.0,Brand name and customer satisfaction,Career growth is not on basis of performance but dependent purely on Superior Near dear policy. Non management background are seating at top level for over a long period and have insecure behavior to fresh talent and current market sales approach
Sr. Chief Engineer (Scrum Master),NOIDA,,Quality Assurance and Testing Department,9 Jun 2022,3.0,1.0,1.0,3.0,5.0,4.0,3.0,Benefits and facilities,Designation and payroll system
Sr Area Sales Manager,Bengaluru/Bangalore,,Enterprise & B2B Sales Department,6 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Great organization,Nothing
Officer,"Goregaon, Maharashtra",,Operations Department,9 Oct 2022,4.0,3.0,5.0,4.0,3.0,4.0,3.0,Salary perks benefits,Work life balanced
Mobile Technician,Vashi,,Non Voice Department,6 Jan 2022,1.0,2.0,4.0,1.0,1.0,1.0,1.0,"Samsung just think about product & customer 
But not about the staff who work for company they fire employees any time",Because samsung don't focus on third party pay role staff
Servicenow Administrator And Developer,Gurgaon,,Software Development Department,2 Jun 2022,2.0,4.0,1.0,1.0,5.0,1.0,1.0,The discount on samsung products,Culture
Senior Production Engineer,Gurgaon/Gurugram,Full Time,Engineering Department,5 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Job security and culture,High politics
Senior Associate In Production,Sunguvarchathram,Full Time,Manufacturing Department,0 Jun 2022,2.0,1.0,2.0,5.0,5.0,3.0,1.0,Work life balance is terrible. Any time you can think only of work,Very much dependent on bosses. And no learning to be honest.
Electrical Maintenance Technician,Noida,Full Time,Electrical Maintenance Department,6 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good work , leader support working time , Best salary timing .",There is a lot of politics and the management doesn't address our issues.
Assistant Manager,Noida,Full Time,Procurement & Purchase Department,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good culture,Processes are very lengthy
Team Leader,Indore,Full Time,Back Office Department,9 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment and culture,There is a lot of politics and the management
Sales Executive,"Kolkata, West Bengal",Full Time,Enterprise & B2B Sales Department,9 Nov 2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,FUTURE BANIFIT,Placement opportunities not good
Senior Associate,"Chennai, Tamil Nadu",,,4 Oct 2022,4.0,3.0,3.0,4.0,5.0,5.0,4.0,"Working Environment, Perks",Worklife balance
Assistant Manager,Chennai,,Engineering Department,4 May 2022,3.0,1.0,2.0,3.0,5.0,2.0,2.0,Good information,No appreciation
Team Member,AHMEDABAD,,,3 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good exeperience i am working last 4 years.. very help full all members...thanks,Satisfied
Associate Engineer,Chennai,,"Operations, Maintenance & Support Department",7 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Night shift.... Difficulty,
R&d Engineer,Noida,Full Time,Pharmaceutical & Biotechnology Department,9 Jun 2022,3.0,3.0,2.0,2.0,4.0,3.0,2.0,"Job security is good.
Pick and drop and canteen available","Growth is poor
Perks are worst.
No salary growth"
Forklift Operator,Chennai,Full Time,Out Bound Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Company policies, biggest company",No dislike
Engineer,Noida Sector 135,,Software Development Department,1 Jun 2022,3.0,4.0,2.0,2.0,4.0,2.0,2.0,"Less compensation, No career growth",Job Security & Team Mumbai
Area Sales Manager,Mumbai,,BD / Pre Sales Department,7 May 2022,5.0,4.0,3.0,4.0,5.0,4.0,4.0,Too Many Goal Posts,Feel like awesome and increditble
Manager Administration Facilities,Noida,,Administration Department,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,good work and environment and culture
Senor Executive,"Begumpet, Hyderabad",,Retail & B2C Sales Department,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no promotions and less  salary,Good to spend more years
Billing Coordinator,Mumbai,,Sales Support & Operations Department,4 May 2022,5.0,5.0,5.0,5.0,5.0,4.0,4.0,No any dislike to say,Good
Service ASM,Hyderabad,,Product Management - Technology Department,0 Apr 2022,4.0,4.0,3.0,3.0,1.0,2.0,2.0,There is no growth for off role employees in service department,"Culture, Work life balance, Benefits &
Hikes."
Senior Executive,"Sunguvarchatram, Chennai",,SCM & Logistics Department,5 Apr 2022,4.0,5.0,3.0,5.0,5.0,5.0,3.0,Methods of appraisal,Culture of work
Csr Officer,Gurgaon/Gurugram,,CSR & Sustainability Department,7 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,
Sales Executive,Upleta,Full Time,Enterprise & B2B Sales Department,4 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best Company For Worl,NA TILL TIME
Senior Hr Executive,Sec 126 Noida,,HR Operations Department,6 May 2022,3.0,5.0,3.0,3.0,5.0,4.0,3.0,Unwanted task and follow ups,Work culture is not good for outsourced employees sone ppl are giod
Deputy General Manager,Gurgaon/Gurugram,,Market Research & Insights Department,9 Jun 2022,3.0,1.0,3.0,2.0,3.0,2.0,3.0,Products and discount,Senior leaders and their little hearts
Senior Associate Engineer,Noida Sector 81,,Business Intelligence & Analytics Department,7 Nov 2021,1.0,3.0,1.0,1.0,5.0,1.0,1.0,Nothing . Believe me your career and learning will go in negative if you are working here. Don't fall for the name. Its a trap..,"No learning 
No career growth
No skill development 
Total trap
Worst culture
Korean dominant 
You are just a slave nothing much. You cannot raise vouce and cannot ask questions."
Assistant Manager Production,Noida,,"Operations, Maintenance & Support Department",8 May 2022,5.0,4.0,4.0,5.0,5.0,5.0,5.0,"Security , work culture , company policies is too much good",Samsung employees always suffered company never think about there facilities
Associate Customer Support Engineer,Lucknow,,After Sales Service & Repair Department,6 May 2022,2.0,1.0,3.0,1.0,1.0,2.0,1.0,Better teamwork but support from the TL,Incentivise any lower
SEC,"Varanasi, Uttar Pradesh",,Sales & Marketing Department,2 Jun 2022,5.0,5.0,5.0,3.0,5.0,5.0,5.0,Nothing to like about it.,"Everything is poor from Management, Career and Development, Job security."
Assistant Manager,Mumbai,,Voice / Blended Department,0 May 2022,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Work-life Balance,"No career growth(Skills & Compensations)
Poor upper management
No appreciation for your work. Otherwise you will start asking for good appraisal :)"
Software Engineer,Noida,,Software Development Department,6 Jan 2022,2.0,4.0,1.0,2.0,2.0,2.0,2.0,Don't join as RSO. Be in your previous company. Samsung RSO is a 3rd party profile and no HR policies are not that ok.. come at your own risk.,Don't join please.
Rso,Kanpur,,Retail & B2C Sales Department,0 Jan 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Treasury Manager,Gurgaon/Gurugram,Full Time,Finance Department,3 Apr 2022,2.0,3.0,2.0,4.0,2.0,2.0,2.0,Brand name only,No opportunity to grow
Software Engineer,Noida,Full Time,Software Development Department,1 Jan 2022,4.0,5.0,4.0,4.0,3.0,5.0,3.0,Time management and personel and professional life is run at balanace level,There is lot of policy ...
Assistant Manager Production,Gautam Buddha Nagar,Full Time,Production Department,6 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is best company with Job Security and work culture excellent with excellent company policies,Nothing
Senior Manager Finance And Accounts,Gurgaon/Gurugram,Full Time,Accounting & Taxation Department,0 May 2022,5.0,5.0,5.0,5.0,3.0,3.0,5.0,Good organization,job security
Senior Chief Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,5 May 2022,5.0,5.0,5.0,1.0,5.0,2.0,5.0,compensation,Good Team Support and Management
Sales Team Leader,Kolhapur,,Sales Support & Operations Department,1 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Salary not Hike properly and Career growth is slow.,Secured wok your own
Manager Training,Kolkata,,Corporate Training Department,1 May 2022,3.0,2.0,3.0,2.0,2.0,3.0,2.0,Unnecessary pressure,One think that is and always has been major positive point of working in Samsung is the job security that comes with it. That is the major value with it.
Senior Assistant Engineer,Noida,,Telecom Department,6 May 2021,2.0,4.0,1.0,1.0,4.0,1.0,2.0,"If you want growth in life in both financial & career terms then this one is definitely not for you. Then just tend to rob you from your worth.
Work culture is quite toxic as its job security is often being misused by the old employees which now are in management positions.
In the tough times only one understands who cares for them and who doesn’t. This goes also for these tough times in the pandemic ; Unlike other corporate companies they don’t care if employee gets sick or even dies they just want their company to operate no matter what. They don’t even acknowledge one, they just want no bad word of mouth so tend to hide the fact and don’t even let employees get tested....Read More",Nyc company I am working I am very happy
Sells Executive,Odisha,,Retail & B2C Sales Department,7 Mar 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Incentive and weekly off,Learning scope is good. Innovation driven.
Assistant Area Sales Manager,Kolkata,,Enterprise & B2B Sales Department,2 Jan 2022,2.0,1.0,3.0,3.0,2.0,1.0,1.0,No freedom in decision making. Highly top down approach.,
Sales Executive,Gaya Bihar,Full Time,,9 Jan 2022,5.0,5.0,5.0,5.0,4.0,4.0,3.0,Company policies,Given target not justify and salary structure is not good
"Supplier Quality,Process Quality,Incoming Quality,New Product Development",Chennai,Full Time,Production & Quality Department,2 Mar 2022,3.0,2.0,3.0,4.0,5.0,2.0,1.0,"Internal politics & career growth is very poor...
Work life balance is terrible",Dcipline and company always work for 7customer satifaction
Store Incharge,Jharkhand,Full Time,,5 Feb 2022,3.0,1.0,1.0,1.0,1.0,1.0,1.0,Career griwth is slow,ITS REALLY APPRECIATE THAT I HAVE WORK WITH SAMSUNG ITS BRILLIANT
SAMSUNG ELECTRONIC CORPORATION,PUNE HEAD OFFICE,Full Time,Accounting & Taxation Department,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NOT YET ANY REASON,Very helpful
Sales Executive,Guwahati,Full Time,,0 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Promotion issues,Brand Name
Staff Engineer,Noida,Full Time,Software Development Department,5 May 2022,2.0,2.0,2.0,2.0,2.0,1.0,2.0,Work and package,Policies predefined
Area Manager Sales,Pune,,BD / Pre Sales Department,5 Apr 2022,4.0,3.0,4.0,4.0,3.0,3.0,2.0,work life balance is not so impressive,I m really happy
Associate,Mumbai,,Construction / Manufacturing Department,7 May 2022,5.0,5.0,5.0,5.0,4.0,4.0,4.0,Management,Work culture
Mis Executive,Gurgaon/Gurugram,,Online Marketing Department,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,"Good benefits, excellent work life balance."
Assistant Manager Purchase,Noida,,Procurement & Purchase Department,9 Feb 2022,4.0,5.0,5.0,5.0,5.0,4.0,4.0,"Small portfolio, no WFH",
Lsmr Engineer,Kolkata,Full Time,Telecom Department,0 Mar 2022,5.0,5.0,5.0,5.0,3.0,5.0,3.0,"Site monitoring, alarm clearence, technical support in field, router status checking.","Good work environment , Teammates are supportive"
Store Keeper,Malappuram,Full Time,Warehouse Department,8 Feb 2022,4.0,4.0,5.0,4.0,4.0,5.0,5.0,Salary is decent but career growth is slow.,Better company to work with
Sales Representative,RANCHI,Full Time,Retail & B2C Sales Department,0 May 2022,4.0,4.0,4.0,4.0,5.0,3.0,3.0,Promotion is very slow,Great and peaceful environment to work .
Senior Executive,Kolkata,Full Time,Retail & B2C Sales Department,3 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Nothing like that,"Innovation is more important than all stell Samsung is doing it ,new technology,new design,new creation etc ......"
Sales Executive,Kanniyakumari,,"Operations, Maintenance & Support Department",3 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Target is more & (need to reduce ),"Brand Name, compensation"
Area Sales Manager,Gurgaon/Gurugram,,BD / Pre Sales Department,0 Jan 2022,1.0,1.0,1.0,5.0,1.0,2.0,2.0,Job insecurity and very poor work life,It's awesome working
Remote Sales Officer,Hubli,,Customer Experience Department,3 May 2022,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,No opportunity for my area
Sales Executive,Andhra Pradesh,,Marketing & Sales Department,1 Feb 2022,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Don’t look in a positive way for below workers,Just like Govt job
Software Engineer,Noida,,Software Development Department,9 Feb 2022,3.0,5.0,2.0,2.0,4.0,2.0,1.0,No new skills can be learned,Very good an most learning environment
Retail Sales Officer,Lucknow,,Enterprise & B2B Sales Department,5 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,
